h,T,lambda,M,s
684.8422315,-109066675.7,1.00E-07,0.024833598,-0.001848488
3516.111098,-34934803.99,1.91E-05,0.261716476,-0.000573015
26654.90406,-103804061.6,0.0002549,1.86312954,-0.001504491
18447.80961,-46202477.62,0.0002549,1.852816201,-0.000528193
4545.980539,-56350588.18,2.40E-06,0.171510648,-0.000952695
18259.70715,-79753071.55,0.0002549,1.852396825,-0.001096847
12950.33411,-48753539.89,0.0002548,1.84572487,-0.000571531
28875.64952,-116021896.4,0.0002549,1.865737211,-0.001711573
1282.701626,-116595590.2,1.00E-07,0.04205489,-0.001976096
18607.53977,-61186874.53,0.0002549,1.853016924,-0.000782166
27875.35765,-51502211.36,0.0002549,1.864846208,-0.000618019
31396.49939,-74277384.02,0.000255,1.869271005,-0.001003939
30345.3489,-95992850.65,0.0002549,1.86776709,-0.001372097
6899.577219,-94038883.64,3.70E-06,0.222780264,-0.001590179
30561.8363,-31224540.89,0.0002549,1.868039136,-0.00027433
30221.47642,-11601389.09,0.000255,1.867611427,5.83663E-05
21562.23565,-91758404.54,0.0002548,1.856546904,-0.001300427
341.0985777,-111530222.9,1.00E-07,0.013970637,-0.001890243
13365.29868,-20489463.63,0.0002549,1.84642933,-9.2379E-05
15389.02751,-66311160.38,0.0002548,1.848789422,-0.000869118
26754.76534,-49227692.53,0.000255,1.86343803,-0.000579368
23910.93641,-91163446.39,0.0002549,1.859681369,-0.001290243
7254.014715,-65620576.8,2.04E-05,0.356449664,-0.001091813
1516.070513,-96545224.16,4.00E-07,0.05131515,-0.00163596
2047.802784,-78505893.12,4.00E-07,0.071930345,-0.001330208
30130.8271,-85294998.41,0.0002549,1.867680514,-0.001190778
8765.420992,-5569772.088,0.0002549,1.840648953,0.000160497
20465.44283,-95545136.21,0.0002548,1.855168634,-0.001364609
28991.6168,-52158716.52,0.0002549,1.86624894,-0.000629146
20675.5959,-56811743.82,0.0002549,1.85561572,-0.000708011
13173.43676,-48098230.02,0.0002548,1.846005229,-0.000560424
23490.39663,-38051062.41,0.000255,1.859152903,-0.000389933
20019.39161,-25976919.28,0.0002549,1.854974109,-0.000185387
16030.67138,-44401772.8,0.0002549,1.849595736,-0.000497672
2217.200065,-44033173.81,7.00E-07,0.088064216,-0.000745625
19543.48012,-7516682.158,0.0002549,1.854376061,0.000127499
4027.916474,-986955.1942,0.0002548,1.834512629,0.000238072
21201.87735,-77683455.54,0.0002548,1.856277065,-0.001061869
30274.17571,-112388729,0.0002549,1.867494651,-0.001649994
24814.12007,-2457795.345,0.0002549,1.860999343,0.000213242
27769.58859,-119675736.2,0.0002548,1.864347294,-0.001773602
24068.50555,-5266653.32,0.0002549,1.860062376,0.000165635
25778.78109,-80593654.44,0.0002549,1.862028572,-0.001111094
12182.74195,-87951351.75,0.000227,1.679511285,-0.001263701
10766.23398,-60490242.09,0.0002546,1.841699249,-0.000770658
6562.157428,-40030112.51,0.0002488,1.79981625,-0.000429676
9243.63934,-31651585.75,0.0002548,1.8410669,-0.000281668
9457.465793,-64737759.48,0.0002426,1.766854602,-0.00085465
18266.27462,-70987417.42,0.0002548,1.852405078,-0.000948377
5467.643917,-49868439.42,2.74E-05,0.365001844,-0.000817828
21996.54855,-45302187.67,0.0002549,1.857275678,-0.000512934
23052.38815,-16182745.32,0.000255,1.858602485,-1.92838E-05
4904.570233,-58887479.61,2.70E-06,0.183124265,-0.000995393
3414.19868,-1480961.812,2.55E-04,1.833192409,0.000229699
18240.35254,-97452709.34,0.0002548,1.852006503,-0.001396941
30426.56473,-49150524.36,0.000255,1.868052149,-0.00057806
7525.140196,-67524320.57,2.18E-05,0.36996637,-0.00112268
27142.79371,-93323868.09,0.0002549,1.863742641,-0.00132686
7811.400835,-34176176.77,0.0002548,1.838901096,-0.000324457
