h,T,lambda,M,s,,,,,lambda_fixedh=24,strain
0,0,-2.10E-05,0.459696,-2.10E-05,,,,,0.0001668,0.0001668
319.08,0,3.20E-05,0.849154968,3.20E-05,,,,,0.0001668,0.0001668
638.16,0,8.87E-05,1.256730936,8.87E-05,,,,,0.0001668,0.0001668
957.24,0,0.0001295,1.549016903,1.30E-04,,,,,0.0001668,0.0001668
1276.32,0,0.0001519,1.706980871,1.52E-04,,,,,0.0001668,0.0001668
1595.4,0,0.0001624,1.778934839,1.62E-04,,,,,0.0001668,0.0001668
1914.48,0,0.0001668,1.810262807,1.67E-04,,,,,0.0001668,0.0001668
2233.56,0,0.0001687,1.823290774,1.69E-04,,,,,0.0001668,0.0001668
2552.64,0,0.0001692,1.828632742,1.69E-04,,,,,0.0001668,0.0001668
2871.72,0,0.0001697,1.83159571,1.70E-04,,,,,0.0001668,0.0001668
3190.8,0,0.0001698,1.832728678,1.70E-04,,,,,0.0001668,0.0001668
3509.88,0,0.0001699,1.833495645,1.70E-04,,,,,0.0001668,0.0001668
3828.96,0,0.0001698,1.834262613,1.70E-04,,,,,0.0001668,0.0001668
4148.04,0,0.0001698,1.834663581,1.70E-04,,,,,0.0001668,0.0001668
4467.12,0,0.0001698,1.835064549,1.70E-04,,,,,0.0001668,0.0001668
4786.2,0,0.0001699,1.835648516,1.70E-04,,,,,0.0001668,0.0001668
5105.28,0,0.0001699,1.835866484,1.70E-04,,,,,0.0001668,0.0001668
5424.36,0,0.0001699,1.836450452,1.70E-04,,,,,0.0001668,0.0001668
5743.44,0,0.0001699,1.83685142,1.70E-04,,,,,0.0001668,0.0001668
6062.52,0,0.0001699,1.837252387,1.70E-04,,,,,0.0001668,0.0001668
6381.6,0,0.0001699,1.837653355,1.70E-04,,,,,0.0001668,0.0001668
6700.68,0,0.0001699,1.838054323,1.70E-04,,,,,0.0001668,0.0001668
7019.76,0,0.0001699,1.838455291,1.70E-04,,,,,0.0001668,0.0001668
7338.84,0,0.0001699,1.838856258,1.70E-04,,,,,0.0001668,0.0001668
7657.92,0,0.0001699,1.839074226,1.70E-04,,,,,0.0001668,0.0001668
7977,0,0.0001698,1.839658194,1.70E-04,,,,,0.0001668,0.0001668
8296.08,0,0.0001699,1.840059162,1.70E-04,,,,,0.0001668,0.0001668
8615.16,0,0.0001699,1.840460129,1.70E-04,,,,,0.0001668,0.0001668
8934.24,0,0.0001699,1.840861097,1.70E-04,,,,,0.0001668,0.0001668
9253.32,0,0.0001699,1.841262065,1.70E-04,,,,,0.0001668,0.0001668
9572.4,0,0.0001699,1.841663033,1.70E-04,,,,,0.0001668,0.0001668
9891.48,0,0.0001699,1.842064,1.70E-04,,,,,0.0001668,0.0001668
10210.56,0,0.0001699,1.842464968,1.70E-04,,,,,0.0001668,0.0001668
10529.64,0,0.0001699,1.842865936,1.70E-04,,,,,0.0001668,0.0001668
10848.72,0,0.0001699,1.843266904,1.70E-04,,,,,0.0001668,0.0001668
11167.8,0,0.0001699,1.843667871,1.70E-04,,,,,0.0001668,0.0001668
11486.88,0,0.0001699,1.844068839,1.70E-04,,,,,0.0001668,0.0001668
11805.96,0,0.0001699,1.844469807,1.70E-04,,,,,0.0001668,0.0001668
12125.04,0,0.0001699,1.845053775,1.70E-04,,,,,0.0001668,0.0001668
12444.12,0,0.0001699,1.845454742,1.70E-04,,,,,0.0001668,0.0001668
12763.2,0,0.0001699,1.84567271,1.70E-04,,,,,0.0001668,0.0001668
13082.28,0,0.0001699,1.846073678,1.70E-04,,,,,0.0001668,0.0001668
13401.36,0,0.0001699,1.846474646,1.70E-04,,,,,0.0001668,0.0001668
13720.44,0,0.0001699,1.846875613,1.70E-04,,,,,0.0001668,0.0001668
14039.52,0,0.0001699,1.847276581,1.70E-04,,,,,0.0001668,0.0001668
14358.6,0,0.0001699,1.847677549,1.70E-04,,,,,0.0001668,0.0001668
14677.68,0,0.0001699,1.848261517,1.70E-04,,,,,0.0001668,0.0001668
14996.76,0,0.0001699,1.848662484,1.70E-04,,,,,0.0001668,0.0001668
15315.84,0,0.0001699,1.849063452,1.70E-04,,,,,0.0001668,0.0001668
15634.92,0,0.0001699,1.84946442,1.70E-04,,,,,0.0001668,0.0001668
15954,0,0.0001699,1.849865388,1.70E-04,,,,,0.0001668,0.0001668
16273.08,0,0.0001699,1.850266355,1.70E-04,,,,,0.0001668,0.0001668
16592.16,0,0.0001699,1.850667323,1.70E-04,,,,,0.0001668,0.0001668
16911.24,0,0.0001699,1.851068291,1.70E-04,,,,,0.0001668,0.0001668
17230.32,0,0.0001699,1.851469259,1.70E-04,,,,,0.0001668,0.0001668
17549.4,0,0.0001699,1.851870226,1.70E-04,,,,,0.0001668,0.0001668
17868.48,0,0.0001699,1.852271194,1.70E-04,,,,,0.0001668,0.0001668
18187.56,0,0.0001699,1.852672162,1.70E-04,,,,,0.0001668,0.0001668
18506.64,0,0.0001699,1.85307313,1.70E-04,,,,,0.0001668,0.0001668
18825.72,0,0.0001699,1.853474097,1.70E-04,,,,,0.0001668,0.0001668
19144.8,0,0.0001699,1.853875065,1.70E-04,,,,,0.0001668,0.0001668
19463.88,0,0.0001699,1.854276033,1.70E-04,,,,,0.0001668,0.0001668
19782.96,0,0.0001699,1.854494001,1.70E-04,,,,,0.0001668,0.0001668
20102.04,0,0.0001699,1.854894968,1.70E-04,,,,,0.0001668,0.0001668
20421.12,0,0.0001699,1.855295936,1.70E-04,,,,,0.0001668,0.0001668
20740.2,0,0.0001699,1.855696904,1.70E-04,,,,,0.0001668,0.0001668
21059.28,0,0.0001699,1.856097872,1.70E-04,,,,,0.0001668,0.0001668
21378.36,0,0.0001699,1.856498839,1.70E-04,,,,,0.0001668,0.0001668
21697.44,0,0.0001699,1.857082807,1.70E-04,,,,,0.0001668,0.0001668
22016.52,0,0.0001699,1.857483775,1.70E-04,,,,,0.0001668,0.0001668
22335.6,0,0.0001699,1.857884743,1.70E-04,,,,,0.0001668,0.0001668
22654.68,0,0.0001699,1.858102711,1.70E-04,,,,,0.0001668,0.0001668
22973.76,0,0.0001699,1.858503678,1.70E-04,,,,,0.0001668,0.0001668
23292.84,0,0.0001699,1.858904646,1.70E-04,,,,,0.0001668,0.0001668
23611.92,0,0.0001699,1.859488614,1.70E-04,,,,,0.0001668,0.0001668
23931,0,0.0001699,1.859889582,1.70E-04,,,,,0.0001668,0.0001668
24250.08,0,0.0001699,1.860290549,1.70E-04,,,,,0.0001668,0.0001668
24569.16,0,0.0001699,1.860691517,1.70E-04,,,,,0.0001668,0.0001668
24888.24,0,0.0001699,1.860909485,1.70E-04,,,,,0.0001668,0.0001668
25207.32,0,0.0001699,1.861310453,1.70E-04,,,,,0.0001668,0.0001668
25526.4,0,0.0001699,1.86189442,1.70E-04,,,,,0.0001668,0.0001668
25845.48,0,0.0001699,1.862295388,1.70E-04,,,,,0.0001668,0.0001668
26164.56,0,0.0001699,1.862696356,1.70E-04,,,,,0.0001668,0.0001668
26483.64,0,0.00017,1.862914324,1.70E-04,,,,,0.0001668,0.0001668
26802.72,0,0.00017,1.863315291,1.70E-04,,,,,0.0001668,0.0001668
27121.8,0,0.00017,1.863899259,1.70E-04,,,,,0.0001668,0.0001668
27440.88,0,0.00017,1.864117227,1.70E-04,,,,,0.0001668,0.0001668
27759.96,0,0.00017,1.864518195,1.70E-04,,,,,0.0001668,0.0001668
28079.04,0,0.00017,1.864919162,1.70E-04,,,,,0.0001668,0.0001668
28398.12,0,0.0001699,1.86550313,1.70E-04,,,,,0.0001668,0.0001668
28717.2,0,0.0001699,1.865904098,1.70E-04,,,,,0.0001668,0.0001668
29036.28,0,0.0001699,1.866122066,1.70E-04,,,,,0.0001668,0.0001668
29355.36,0,0.0001699,1.866523033,1.70E-04,,,,,0.0001668,0.0001668
29674.44,0,0.0001699,1.867107001,1.70E-04,,,,,0.0001668,0.0001668
29993.52,0,0.0001699,1.867324969,1.70E-04,,,,,0.0001668,0.0001668
30312.6,0,0.0001699,1.867725937,1.70E-04,,,,,0.0001668,0.0001668
30631.68,0,0.0001699,1.868126904,1.70E-04,,,,,0.0001668,0.0001668
30950.76,0,0.0001699,1.868527872,1.70E-04,,,,,0.0001668,0.0001668
31269.84,0,0.0001699,1.86892884,1.70E-04,,,,,0.0001668,0.0001668
31588.92,0,0.0001699,1.869512808,1.70E-04,,,,,0.0001668,0.0001668
0,-1920000,3.38E-05,0.243939,1.26E-06,,,,,0.0002489,0.000216358
319.08,-1920000,7.12E-05,0.523048968,3.87E-05,,,,,0.0002489,0.000216358
638.16,-1920000,0.0001259,0.920010936,9.34E-05,,,,,0.0002489,0.000216358
957.24,-1920000,0.0001807,1.311482903,1.48E-04,,,,,0.0002489,0.000216358
1276.32,-1920000,0.0002186,1.579795871,1.86E-04,,,,,0.0002489,0.000216358
1595.4,-1920000,0.0002388,1.720740839,2.06E-04,,,,,0.0002489,0.000216358
1914.48,-1920000,0.000248,1.785008807,2.15E-04,,,,,0.0002489,0.000216358
2233.56,-1920000,0.0002519,1.812676774,2.19E-04,,,,,0.0002489,0.000216358
2552.64,-1920000,0.0002536,1.824606742,2.21E-04,,,,,0.0002489,0.000216358
2871.72,-1920000,0.0002543,1.82939971,2.22E-04,,,,,0.0002489,0.000216358
3190.8,-1920000,0.0002547,1.831813678,2.22E-04,,,,,0.0002489,0.000216358
3509.88,-1920000,0.0002548,1.833129645,2.22E-04,,,,,0.0002489,0.000216358
3828.96,-1920000,0.0002549,1.834079613,2.22E-04,,,,,0.0002489,0.000216358
4148.04,-1920000,0.0002548,1.834663581,2.22E-04,,,,,0.0002489,0.000216358
4467.12,-1920000,0.0002548,1.835064549,2.22E-04,,,,,0.0002489,0.000216358
4786.2,-1920000,0.0002549,1.835648516,2.22E-04,,,,,0.0002489,0.000216358
5105.28,-1920000,0.0002549,1.835866484,2.22E-04,,,,,0.0002489,0.000216358
5424.36,-1920000,0.0002549,1.836450452,2.22E-04,,,,,0.0002489,0.000216358
5743.44,-1920000,0.0002549,1.83685142,2.22E-04,,,,,0.0002489,0.000216358
6062.52,-1920000,0.0002549,1.837069387,2.22E-04,,,,,0.0002489,0.000216358
6381.6,-1920000,0.0002548,1.837653355,2.22E-04,,,,,0.0002489,0.000216358
6700.68,-1920000,0.0002549,1.837871323,2.22E-04,,,,,0.0002489,0.000216358
7019.76,-1920000,0.0002549,1.838455291,2.22E-04,,,,,0.0002489,0.000216358
7338.84,-1920000,0.0002549,1.838673258,2.22E-04,,,,,0.0002489,0.000216358
7657.92,-1920000,0.0002549,1.839257226,2.22E-04,,,,,0.0002489,0.000216358
7977,-1920000,0.0002549,1.839658194,2.22E-04,,,,,0.0002489,0.000216358
8296.08,-1920000,0.0002549,1.840059162,2.22E-04,,,,,0.0002489,0.000216358
8615.16,-1920000,0.0002549,1.840460129,2.22E-04,,,,,0.0002489,0.000216358
8934.24,-1920000,0.0002549,1.840861097,2.22E-04,,,,,0.0002489,0.000216358
9253.32,-1920000,0.0002549,1.841262065,2.22E-04,,,,,0.0002489,0.000216358
9572.4,-1920000,0.0002549,1.841663033,2.22E-04,,,,,0.0002489,0.000216358
9891.48,-1920000,0.0002549,1.842064,2.22E-04,,,,,0.0002489,0.000216358
10210.56,-1920000,0.0002549,1.842464968,2.22E-04,,,,,0.0002489,0.000216358
10529.64,-1920000,0.0002549,1.842865936,2.22E-04,,,,,0.0002489,0.000216358
10848.72,-1920000,0.0002549,1.843266904,2.22E-04,,,,,0.0002489,0.000216358
11167.8,-1920000,0.0002549,1.843850871,2.22E-04,,,,,0.0002489,0.000216358
11486.88,-1920000,0.0002549,1.844068839,2.22E-04,,,,,0.0002489,0.000216358
11805.96,-1920000,0.0002549,1.844469807,2.22E-04,,,,,0.0002489,0.000216358
12125.04,-1920000,0.0002549,1.844870775,2.22E-04,,,,,0.0002489,0.000216358
12444.12,-1920000,0.0002549,1.845271742,2.22E-04,,,,,0.0002489,0.000216358
12763.2,-1920000,0.0002549,1.84585571,2.22E-04,,,,,0.0002489,0.000216358
13082.28,-1920000,0.0002549,1.846256678,2.22E-04,,,,,0.0002489,0.000216358
13401.36,-1920000,0.0002549,1.846474646,2.22E-04,,,,,0.0002489,0.000216358
13720.44,-1920000,0.0002549,1.846875613,2.22E-04,,,,,0.0002489,0.000216358
14039.52,-1920000,0.0002549,1.847276581,2.22E-04,,,,,0.0002489,0.000216358
14358.6,-1920000,0.0002549,1.847677549,2.22E-04,,,,,0.0002489,0.000216358
14677.68,-1920000,0.0002549,1.848078517,2.22E-04,,,,,0.0002489,0.000216358
14996.76,-1920000,0.0002549,1.848479484,2.22E-04,,,,,0.0002489,0.000216358
15315.84,-1920000,0.0002549,1.849063452,2.22E-04,,,,,0.0002489,0.000216358
15634.92,-1920000,0.0002549,1.84946442,2.22E-04,,,,,0.0002489,0.000216358
15954,-1920000,0.0002549,1.849865388,2.22E-04,,,,,0.0002489,0.000216358
16273.08,-1920000,0.0002549,1.850266355,2.22E-04,,,,,0.0002489,0.000216358
16592.16,-1920000,0.0002549,1.850667323,2.22E-04,,,,,0.0002489,0.000216358
16911.24,-1920000,0.000255,1.850885291,2.22E-04,,,,,0.0002489,0.000216358
17230.32,-1920000,0.0002549,1.851469259,2.22E-04,,,,,0.0002489,0.000216358
17549.4,-1920000,0.0002549,1.851870226,2.22E-04,,,,,0.0002489,0.000216358
17868.48,-1920000,0.0002549,1.852271194,2.22E-04,,,,,0.0002489,0.000216358
18187.56,-1920000,0.000255,1.852672162,2.22E-04,,,,,0.0002489,0.000216358
18506.64,-1920000,0.000255,1.85307313,2.22E-04,,,,,0.0002489,0.000216358
18825.72,-1920000,0.0002549,1.853474097,2.22E-04,,,,,0.0002489,0.000216358
19144.8,-1920000,0.0002549,1.853875065,2.22E-04,,,,,0.0002489,0.000216358
19463.88,-1920000,0.0002549,1.854276033,2.22E-04,,,,,0.0002489,0.000216358
19782.96,-1920000,0.0002549,1.854677001,2.22E-04,,,,,0.0002489,0.000216358
20102.04,-1920000,0.0002549,1.855077968,2.22E-04,,,,,0.0002489,0.000216358
20421.12,-1920000,0.0002549,1.855478936,2.22E-04,,,,,0.0002489,0.000216358
20740.2,-1920000,0.0002549,1.855696904,2.22E-04,,,,,0.0002489,0.000216358
21059.28,-1920000,0.0002549,1.856097872,2.22E-04,,,,,0.0002489,0.000216358
21378.36,-1920000,0.0002549,1.856498839,2.22E-04,,,,,0.0002489,0.000216358
21697.44,-1920000,0.0002549,1.856899807,2.22E-04,,,,,0.0002489,0.000216358
22016.52,-1920000,0.0002549,1.857300775,2.22E-04,,,,,0.0002489,0.000216358
22335.6,-1920000,0.0002549,1.857701743,2.22E-04,,,,,0.0002489,0.000216358
22654.68,-1920000,0.0002549,1.858285711,2.22E-04,,,,,0.0002489,0.000216358
22973.76,-1920000,0.0002549,1.858686678,2.22E-04,,,,,0.0002489,0.000216358
23292.84,-1920000,0.0002549,1.859087646,2.22E-04,,,,,0.0002489,0.000216358
23611.92,-1920000,0.0002549,1.859488614,2.22E-04,,,,,0.0002489,0.000216358
23931,-1920000,0.0002549,1.859706582,2.22E-04,,,,,0.0002489,0.000216358
24250.08,-1920000,0.0002549,1.860107549,2.22E-04,,,,,0.0002489,0.000216358
24569.16,-1920000,0.0002549,1.860691517,2.22E-04,,,,,0.0002489,0.000216358
24888.24,-1920000,0.0002549,1.861092485,2.22E-04,,,,,0.0002489,0.000216358
25207.32,-1920000,0.0002549,1.861493453,2.22E-04,,,,,0.0002489,0.000216358
25526.4,-1920000,0.0002549,1.86171142,2.22E-04,,,,,0.0002489,0.000216358
25845.48,-1920000,0.000255,1.862112388,2.22E-04,,,,,0.0002489,0.000216358
26164.56,-1920000,0.0002549,1.862513356,2.22E-04,,,,,0.0002489,0.000216358
26483.64,-1920000,0.000255,1.863097324,2.22E-04,,,,,0.0002489,0.000216358
26802.72,-1920000,0.000255,1.863498291,2.22E-04,,,,,0.0002489,0.000216358
27121.8,-1920000,0.000255,1.863716259,2.22E-04,,,,,0.0002489,0.000216358
27440.88,-1920000,0.000255,1.864117227,2.22E-04,,,,,0.0002489,0.000216358
27759.96,-1920000,0.0002549,1.864701195,2.22E-04,,,,,0.0002489,0.000216358
28079.04,-1920000,0.0002549,1.865102162,2.22E-04,,,,,0.0002489,0.000216358
28398.12,-1920000,0.0002549,1.86532013,2.22E-04,,,,,0.0002489,0.000216358
28717.2,-1920000,0.0002549,1.865721098,2.22E-04,,,,,0.0002489,0.000216358
29036.28,-1920000,0.0002549,1.866305066,2.22E-04,,,,,0.0002489,0.000216358
29355.36,-1920000,0.0002549,1.866523033,2.22E-04,,,,,0.0002489,0.000216358
29674.44,-1920000,0.0002549,1.866924001,2.22E-04,,,,,0.0002489,0.000216358
29993.52,-1920000,0.0002549,1.867324969,2.22E-04,,,,,0.0002489,0.000216358
30312.6,-1920000,0.0002549,1.867908937,2.22E-04,,,,,0.0002489,0.000216358
30631.68,-1920000,0.0002549,1.868309904,2.22E-04,,,,,0.0002489,0.000216358
30950.76,-1920000,0.0002549,1.868527872,2.22E-04,,,,,0.0002489,0.000216358
31269.84,-1920000,0.000255,1.86911184,2.22E-04,,,,,0.0002489,0.000216358
31588.92,-1920000,0.000255,1.869512808,2.22E-04,,,,,0.0002489,0.000216358
0,-3840000,1.67E-05,0.120963,-4.84E-05,,,,,0.0002441,0.000179015
319.08,-3840000,3.84E-05,0.289174968,-2.67E-05,,,,,0.0002441,0.000179015
638.16,-3840000,7.86E-05,0.586035936,1.35E-05,,,,,0.0002441,0.000179015
957.24,-3840000,0.0001343,0.986657903,6.92E-05,,,,,0.0002441,0.000179015
1276.32,-3840000,0.0001872,1.360561871,1.22E-04,,,,,0.0002441,0.000179015
1595.4,-3840000,0.0002221,1.606548839,1.57E-04,,,,,0.0002441,0.000179015
1914.48,-3840000,0.0002403,1.733036807,1.75E-04,,,,,0.0002441,0.000179015
2233.56,-3840000,0.0002487,1.790167774,1.84E-04,,,,,0.0002441,0.000179015
2552.64,-3840000,0.0002523,1.815090742,1.87E-04,,,,,0.0002441,0.000179015
2871.72,-3840000,0.0002537,1.82573971,1.89E-04,,,,,0.0002441,0.000179015
3190.8,-3840000,0.0002544,1.830166678,1.89E-04,,,,,0.0002441,0.000179015
3509.88,-3840000,0.0002547,1.832580645,1.90E-04,,,,,0.0002441,0.000179015
3828.96,-3840000,0.0002548,1.833713613,1.90E-04,,,,,0.0002441,0.000179015
4148.04,-3840000,0.0002549,1.834480581,1.90E-04,,,,,0.0002441,0.000179015
4467.12,-3840000,0.0002549,1.835064549,1.90E-04,,,,,0.0002441,0.000179015
4786.2,-3840000,0.0002548,1.835465516,1.90E-04,,,,,0.0002441,0.000179015
5105.28,-3840000,0.0002549,1.835866484,1.90E-04,,,,,0.0002441,0.000179015
5424.36,-3840000,0.0002549,1.836450452,1.90E-04,,,,,0.0002441,0.000179015
5743.44,-3840000,0.0002549,1.83685142,1.90E-04,,,,,0.0002441,0.000179015
6062.52,-3840000,0.0002549,1.837069387,1.90E-04,,,,,0.0002441,0.000179015
6381.6,-3840000,0.0002549,1.837653355,1.90E-04,,,,,0.0002441,0.000179015
6700.68,-3840000,0.0002549,1.837871323,1.90E-04,,,,,0.0002441,0.000179015
7019.76,-3840000,0.0002548,1.838455291,1.90E-04,,,,,0.0002441,0.000179015
7338.84,-3840000,0.0002549,1.838673258,1.90E-04,,,,,0.0002441,0.000179015
7657.92,-3840000,0.0002549,1.839257226,1.90E-04,,,,,0.0002441,0.000179015
7977,-3840000,0.0002549,1.839475194,1.90E-04,,,,,0.0002441,0.000179015
8296.08,-3840000,0.0002549,1.840059162,1.90E-04,,,,,0.0002441,0.000179015
8615.16,-3840000,0.0002549,1.840277129,1.90E-04,,,,,0.0002441,0.000179015
8934.24,-3840000,0.0002549,1.840861097,1.90E-04,,,,,0.0002441,0.000179015
9253.32,-3840000,0.0002549,1.841262065,1.90E-04,,,,,0.0002441,0.000179015
9572.4,-3840000,0.0002549,1.841480033,1.90E-04,,,,,0.0002441,0.000179015
9891.48,-3840000,0.0002549,1.842064,1.90E-04,,,,,0.0002441,0.000179015
10210.56,-3840000,0.0002549,1.842464968,1.90E-04,,,,,0.0002441,0.000179015
10529.64,-3840000,0.0002549,1.842865936,1.90E-04,,,,,0.0002441,0.000179015
10848.72,-3840000,0.0002549,1.843266904,1.90E-04,,,,,0.0002441,0.000179015
11167.8,-3840000,0.0002549,1.843667871,1.90E-04,,,,,0.0002441,0.000179015
11486.88,-3840000,0.0002549,1.844068839,1.90E-04,,,,,0.0002441,0.000179015
11805.96,-3840000,0.0002549,1.844469807,1.90E-04,,,,,0.0002441,0.000179015
12125.04,-3840000,0.0002549,1.844870775,1.90E-04,,,,,0.0002441,0.000179015
12444.12,-3840000,0.0002549,1.845271742,1.90E-04,,,,,0.0002441,0.000179015
12763.2,-3840000,0.0002549,1.84567271,1.90E-04,,,,,0.0002441,0.000179015
13082.28,-3840000,0.0002549,1.846256678,1.90E-04,,,,,0.0002441,0.000179015
13401.36,-3840000,0.0002549,1.846657646,1.90E-04,,,,,0.0002441,0.000179015
13720.44,-3840000,0.0002549,1.846875613,1.90E-04,,,,,0.0002441,0.000179015
14039.52,-3840000,0.0002549,1.847276581,1.90E-04,,,,,0.0002441,0.000179015
14358.6,-3840000,0.0002549,1.847677549,1.90E-04,,,,,0.0002441,0.000179015
14677.68,-3840000,0.0002549,1.848078517,1.90E-04,,,,,0.0002441,0.000179015
14996.76,-3840000,0.0002549,1.848479484,1.90E-04,,,,,0.0002441,0.000179015
15315.84,-3840000,0.0002549,1.848880452,1.90E-04,,,,,0.0002441,0.000179015
15634.92,-3840000,0.0002549,1.84946442,1.90E-04,,,,,0.0002441,0.000179015
15954,-3840000,0.0002549,1.849865388,1.90E-04,,,,,0.0002441,0.000179015
16273.08,-3840000,0.0002549,1.850266355,1.90E-04,,,,,0.0002441,0.000179015
16592.16,-3840000,0.0002549,1.850667323,1.90E-04,,,,,0.0002441,0.000179015
16911.24,-3840000,0.0002549,1.851068291,1.90E-04,,,,,0.0002441,0.000179015
17230.32,-3840000,0.0002549,1.851469259,1.90E-04,,,,,0.0002441,0.000179015
17549.4,-3840000,0.000255,1.851687226,1.90E-04,,,,,0.0002441,0.000179015
17868.48,-3840000,0.000255,1.852088194,1.90E-04,,,,,0.0002441,0.000179015
18187.56,-3840000,0.0002549,1.852672162,1.90E-04,,,,,0.0002441,0.000179015
18506.64,-3840000,0.0002549,1.85307313,1.90E-04,,,,,0.0002441,0.000179015
18825.72,-3840000,0.0002549,1.853474097,1.90E-04,,,,,0.0002441,0.000179015
19144.8,-3840000,0.0002549,1.853875065,1.90E-04,,,,,0.0002441,0.000179015
19463.88,-3840000,0.000255,1.854276033,1.90E-04,,,,,0.0002441,0.000179015
19782.96,-3840000,0.000255,1.854677001,1.90E-04,,,,,0.0002441,0.000179015
20102.04,-3840000,0.0002549,1.855077968,1.90E-04,,,,,0.0002441,0.000179015
20421.12,-3840000,0.0002549,1.855478936,1.90E-04,,,,,0.0002441,0.000179015
20740.2,-3840000,0.0002549,1.855879904,1.90E-04,,,,,0.0002441,0.000179015
21059.28,-3840000,0.0002549,1.856280872,1.90E-04,,,,,0.0002441,0.000179015
21378.36,-3840000,0.0002549,1.856681839,1.90E-04,,,,,0.0002441,0.000179015
21697.44,-3840000,0.0002549,1.856899807,1.90E-04,,,,,0.0002441,0.000179015
22016.52,-3840000,0.0002549,1.857300775,1.90E-04,,,,,0.0002441,0.000179015
22335.6,-3840000,0.0002549,1.857701743,1.90E-04,,,,,0.0002441,0.000179015
22654.68,-3840000,0.0002549,1.858102711,1.90E-04,,,,,0.0002441,0.000179015
22973.76,-3840000,0.0002549,1.858503678,1.90E-04,,,,,0.0002441,0.000179015
23292.84,-3840000,0.0002549,1.859087646,1.90E-04,,,,,0.0002441,0.000179015
23611.92,-3840000,0.0002549,1.859488614,1.90E-04,,,,,0.0002441,0.000179015
23931,-3840000,0.0002549,1.859889582,1.90E-04,,,,,0.0002441,0.000179015
24250.08,-3840000,0.0002549,1.860107549,1.90E-04,,,,,0.0002441,0.000179015
24569.16,-3840000,0.0002549,1.860508517,1.90E-04,,,,,0.0002441,0.000179015
24888.24,-3840000,0.0002549,1.860909485,1.90E-04,,,,,0.0002441,0.000179015
25207.32,-3840000,0.0002549,1.861493453,1.90E-04,,,,,0.0002441,0.000179015
25526.4,-3840000,0.0002549,1.86189442,1.90E-04,,,,,0.0002441,0.000179015
25845.48,-3840000,0.0002549,1.862295388,1.90E-04,,,,,0.0002441,0.000179015
26164.56,-3840000,0.0002549,1.862696356,1.90E-04,,,,,0.0002441,0.000179015
26483.64,-3840000,0.0002549,1.862914324,1.90E-04,,,,,0.0002441,0.000179015
26802.72,-3840000,0.000255,1.863498291,1.90E-04,,,,,0.0002441,0.000179015
27121.8,-3840000,0.000255,1.863899259,1.90E-04,,,,,0.0002441,0.000179015
27440.88,-3840000,0.000255,1.864300227,1.90E-04,,,,,0.0002441,0.000179015
27759.96,-3840000,0.000255,1.864518195,1.90E-04,,,,,0.0002441,0.000179015
28079.04,-3840000,0.000255,1.864919162,1.90E-04,,,,,0.0002441,0.000179015
28398.12,-3840000,0.0002549,1.86550313,1.90E-04,,,,,0.0002441,0.000179015
28717.2,-3840000,0.0002549,1.865904098,1.90E-04,,,,,0.0002441,0.000179015
29036.28,-3840000,0.0002549,1.866122066,1.90E-04,,,,,0.0002441,0.000179015
29355.36,-3840000,0.0002549,1.866523033,1.90E-04,,,,,0.0002441,0.000179015
29674.44,-3840000,0.0002549,1.867107001,1.90E-04,,,,,0.0002441,0.000179015
29993.52,-3840000,0.0002549,1.867507969,1.90E-04,,,,,0.0002441,0.000179015
30312.6,-3840000,0.0002549,1.867725937,1.90E-04,,,,,0.0002441,0.000179015
30631.68,-3840000,0.0002549,1.868309904,1.90E-04,,,,,0.0002441,0.000179015
30950.76,-3840000,0.0002549,1.868527872,1.90E-04,,,,,0.0002441,0.000179015
31269.84,-3840000,0.0002549,1.86892884,1.90E-04,,,,,0.0002441,0.000179015
31588.92,-3840000,0.0002549,1.869329808,1.90E-04,,,,,0.0002441,0.000179015
0,-5760000,8.00E-06,0.058011,-8.96E-05,,,,,0.0002354,0.000137773
319.08,-5760000,1.92E-05,0.152107968,-7.84E-05,,,,,0.0002354,0.000137773
638.16,-5760000,4.33E-05,0.335691936,-5.43E-05,,,,,0.0002354,0.000137773
957.24,-5760000,8.61E-05,0.648290903,-1.15E-05,,,,,0.0002354,0.000137773
1276.32,-5760000,0.0001422,1.048912871,4.46E-05,,,,,0.0002354,0.000137773
1595.4,-5760000,0.0001928,1.403784839,9.52E-05,,,,,0.0002354,0.000137773
1914.48,-5760000,0.0002252,1.629458807,1.28E-04,,,,,0.0002354,0.000137773
2233.56,-5760000,0.0002418,1.743319774,1.44E-04,,,,,0.0002354,0.000137773
2552.64,-5760000,0.0002493,1.795143742,1.52E-04,,,,,0.0002354,0.000137773
2871.72,-5760000,0.0002525,1.81713871,1.55E-04,,,,,0.0002354,0.000137773
3190.8,-5760000,0.0002539,1.826689678,1.56E-04,,,,,0.0002354,0.000137773
3509.88,-5760000,0.0002544,1.830750645,1.57E-04,,,,,0.0002354,0.000137773
3828.96,-5760000,0.0002547,1.832798613,1.57E-04,,,,,0.0002354,0.000137773
4148.04,-5760000,0.0002548,1.834297581,1.57E-04,,,,,0.0002354,0.000137773
4467.12,-5760000,0.0002548,1.834881549,1.57E-04,,,,,0.0002354,0.000137773
4786.2,-5760000,0.0002549,1.835465516,1.57E-04,,,,,0.0002354,0.000137773
5105.28,-5760000,0.0002548,1.835866484,1.57E-04,,,,,0.0002354,0.000137773
5424.36,-5760000,0.0002548,1.836450452,1.57E-04,,,,,0.0002354,0.000137773
