,h,T,M,Lambda_lhs,e
4716,18442.36587,-31946491.79,1.85280936,0.0002549,-2.87E-04
4717,16709.3629,-2012338.552,1.850814605,0.0002549,2.21E-04
4718,1414.493241,-8231969.824,1.075255505,0.0001456,6.08E-06
4719,23171.00927,-11057184.4,1.858934549,0.0002549,6.75E-05
4720,7695.601955,-4769243.607,1.839304579,2.55E-04,1.74E-04
4721,26075.46338,-7017505.035,1.862584394,0.0002549,1.36E-04
4722,1718.559265,-30473605.47,0.076457605,1.00E-06,-5.16E-04
4723,15744.0943,-8813259.539,1.849418612,0.0002549,1.06E-04
4724,26507.25036,-39335253.81,1.863126993,2.55E-04,-4.12E-04
4725,16386.70937,-38605266.29,1.850226146,2.55E-04,-3.99E-04
4726,20839.16572,-4958080.206,1.856004268,0.0002549,1.71E-04
4727,12636.49483,-42381156.44,1.845330488,2.55E-04,-4.63E-04
4728,15578.42717,-34317163.39,1.849210429,2.55E-04,-3.27E-04
4729,15831.14964,-38070363.95,1.849528009,2.55E-04,-3.90E-04
4730,16240.60668,-45850928.54,1.850042548,2.55E-04,-5.22E-04
4731,5978.709187,-39012077.54,1.722772068,2.37E-04,-4.24E-04
4732,14328.87842,-43845668.78,1.8474572,2.55E-04,-4.88E-04
4733,1360.156306,-14829902.49,0.269621223,3.03E-05,-2.21E-04
4734,8139.589831,-12172721.26,1.83986251,2.55E-04,4.87E-05
4735,17932.42389,-2089800.422,1.852351548,0.0002549,2.19E-04
4736,9099.935534,-40925324.77,1.840703316,2.55E-04,-4.39E-04
4737,17160.27437,-35107728.82,1.851381237,0.0002549,-3.40E-04
4738,29161.02918,-35879171.01,1.86627883,2.55E-04,-3.53E-04
4739,20133.01009,-14920092.07,1.854933887,2.55E-04,2.12E-06
4740,998.8461171,-28505965.7,0.044443187,2.00E-07,-4.83E-04
4741,716.8769998,-45652964.03,0.029814854,1.00E-07,-7.74E-04
4742,30888.52823,-27985962.64,1.868632669,0.0002549,-2.19E-04
4743,16483.2012,-22472033.85,1.850347402,0.0002549,-1.26E-04
4744,17029.98437,-10239478.6,1.85121751,0.0002549,8.13E-05
4745,9169.886845,-18264834.07,1.84097422,2.55E-04,-5.46E-05
4746,1028.163249,-12869841.02,0.207350028,2.29E-05,-1.95E-04
4747,13892.78629,-44963864.96,1.84709219,2.55E-04,-5.07E-04
