,T,B,M,lambda,s
96,0.0,30632.0,1460000.0,0.0001909,0.0001909
97,0.0,30951.0,1460000.0,0.0001909,0.0001909
98,0.0,31270.0,1460000.0,0.0001909,0.0001909
99,0.0,31589.0,1460000.0,0.0001909,0.0001909
100,-960000.0,0.0,270000.0,4.7e-05,3.072881355932203e-05
101,-960000.0,319.08,539000.0,9.29e-05,7.662881355932203e-05
102,-960000.0,638.16,870000.0,0.0001505,0.00013422881355932203
103,-960000.0,957.24,1150000.0,0.0001995,0.00018322881355932203
104,-960000.0,1276.3,1310000.0,0.0002292,0.00021292881355932202
105,-960000.0,1595.4,1400000.0,0.0002437,0.00022742881355932202
106,-960000.0,1914.5,1430000.0,0.0002502,0.00023392881355932204
107,-960000.0,2233.6,1450000.0,0.0002529,0.00023662881355932205
108,-960000.0,2552.6,1450000.0,0.000254,0.00023772881355932203
109,-960000.0,2871.7,1450000.0,0.0002545,0.00023822881355932204
110,-960000.0,3190.8,1460000.0,0.0002547,0.00023842881355932204
111,-960000.0,3509.9,1460000.0,0.0002548,0.00023852881355932205
112,-960000.0,3829.0,1460000.0,0.0002548,0.00023852881355932205
113,-960000.0,4148.0,1460000.0,0.0002548,0.00023852881355932205
114,-960000.0,4467.1,1460000.0,0.0002549,0.00023862881355932205
115,-960000.0,4786.2,1460000.0,0.0002549,0.00023862881355932205
116,-960000.0,5105.3,1460000.0,0.0002549,0.00023862881355932205
117,-960000.0,5424.4,1460000.0,0.0002549,0.00023862881355932205
118,-960000.0,5743.4,1460000.0,0.0002549,0.00023862881355932205
119,-960000.0,6062.5,1460000.0,0.0002548,0.00023852881355932205
120,-960000.0,6381.6,1460000.0,0.0002549,0.00023862881355932205
121,-960000.0,6700.7,1460000.0,0.0002549,0.00023862881355932205
122,-960000.0,7019.8,1460000.0,0.0002549,0.00023862881355932205
123,-960000.0,7338.8,1460000.0,0.0002549,0.00023862881355932205
124,-960000.0,7657.9,1460000.0,0.0002549,0.00023862881355932205
125,-960000.0,7977.0,1460000.0,0.0002549,0.00023862881355932205
126,-960000.0,8296.1,1460000.0,0.0002549,0.00023862881355932205
127,-960000.0,8615.2,1460000.0,0.0002549,0.00023862881355932205
128,-960000.0,8934.2,1460000.0,0.0002549,0.00023862881355932205
129,-960000.0,9253.3,1460000.0,0.0002549,0.00023862881355932205
130,-960000.0,9572.4,1460000.0,0.0002549,0.00023862881355932205
131,-960000.0,9891.5,1460000.0,0.0002549,0.00023862881355932205
132,-960000.0,10211.0,1460000.0,0.0002549,0.00023862881355932205
133,-960000.0,10530.0,1460000.0,0.0002549,0.00023862881355932205
134,-960000.0,10849.0,1460000.0,0.0002549,0.00023862881355932205
135,-960000.0,11168.0,1460000.0,0.0002549,0.00023862881355932205
136,-960000.0,11487.0,1460000.0,0.0002549,0.00023862881355932205
137,-960000.0,11806.0,1460000.0,0.0002549,0.00023862881355932205
138,-960000.0,12125.0,1460000.0,0.0002549,0.00023862881355932205
139,-960000.0,12444.0,1460000.0,0.0002549,0.00023862881355932205
140,-960000.0,12763.0,1460000.0,0.0002549,0.00023862881355932205
141,-960000.0,13082.0,1460000.0,0.0002549,0.00023862881355932205
142,-960000.0,13401.0,1460000.0,0.0002549,0.00023862881355932205
143,-960000.0,13720.0,1460000.0,0.0002549,0.00023862881355932205
144,-960000.0,14040.0,1460000.0,0.0002549,0.00023862881355932205
145,-960000.0,14359.0,1460000.0,0.0002549,0.00023862881355932205
146,-960000.0,14678.0,1460000.0,0.0002549,0.00023862881355932205
147,-960000.0,14997.0,1460000.0,0.0002549,0.00023862881355932205
148,-960000.0,15316.0,1460000.0,0.0002549,0.00023862881355932205
149,-960000.0,15635.0,1460000.0,0.0002549,0.00023862881355932205
150,-960000.0,15954.0,1460000.0,0.0002549,0.00023862881355932205
151,-960000.0,16273.0,1460000.0,0.0002549,0.00023862881355932205
152,-960000.0,16592.0,1460000.0,0.0002549,0.00023862881355932205
153,-960000.0,16911.0,1460000.0,0.0002549,0.00023862881355932205
154,-960000.0,17230.0,1460000.0,0.0002549,0.00023862881355932205
155,-960000.0,17549.0,1460000.0,0.0002549,0.00023862881355932205
156,-960000.0,17868.0,1460000.0,0.0002549,0.00023862881355932205
157,-960000.0,18188.0,1460000.0,0.0002549,0.00023862881355932205
158,-960000.0,18507.0,1460000.0,0.0002549,0.00023862881355932205
159,-960000.0,18826.0,1460000.0,0.0002549,0.00023862881355932205
160,-960000.0,19145.0,1460000.0,0.0002549,0.00023862881355932205
161,-960000.0,19464.0,1460000.0,0.0002549,0.00023862881355932205
162,-960000.0,19783.0,1460000.0,0.0002549,0.00023862881355932205
163,-960000.0,20102.0,1460000.0,0.0002549,0.00023862881355932205
164,-960000.0,20421.0,1460000.0,0.0002549,0.00023862881355932205
165,-960000.0,20740.0,1460000.0,0.0002549,0.00023862881355932205
166,-960000.0,21059.0,1460000.0,0.0002549,0.00023862881355932205
167,-960000.0,21378.0,1460000.0,0.0002549,0.00023862881355932205
168,-960000.0,21697.0,1460000.0,0.0002549,0.00023862881355932205
169,-960000.0,22017.0,1460000.0,0.0002549,0.00023862881355932205
170,-960000.0,22336.0,1460000.0,0.0002549,0.00023862881355932205
171,-960000.0,22655.0,1460000.0,0.0002549,0.00023862881355932205
172,-960000.0,22974.0,1460000.0,0.0002549,0.00023862881355932205
173,-960000.0,23293.0,1460000.0,0.0002549,0.00023862881355932205
174,-960000.0,23612.0,1460000.0,0.0002549,0.00023862881355932205
175,-960000.0,23931.0,1460000.0,0.0002549,0.00023862881355932205
176,-960000.0,24250.0,1460000.0,0.0002549,0.00023862881355932205
177,-960000.0,24569.0,1460000.0,0.0002549,0.00023862881355932205
178,-960000.0,24888.0,1460000.0,0.0002549,0.00023862881355932205
179,-960000.0,25207.0,1460000.0,0.0002549,0.00023862881355932205
180,-960000.0,25526.0,1460000.0,0.0002549,0.00023862881355932205
181,-960000.0,25845.0,1460000.0,0.000255,0.00023872881355932205
182,-960000.0,26165.0,1460000.0,0.000255,0.00023872881355932205
183,-960000.0,26484.0,1460000.0,0.000255,0.00023872881355932205
184,-960000.0,26803.0,1460000.0,0.000255,0.00023872881355932205
185,-960000.0,27122.0,1460000.0,0.000255,0.00023872881355932205
186,-960000.0,27441.0,1460000.0,0.0002549,0.00023862881355932205
187,-960000.0,27760.0,1460000.0,0.0002549,0.00023862881355932205
188,-960000.0,28079.0,1460000.0,0.0002549,0.00023862881355932205
189,-960000.0,28398.0,1460000.0,0.0002549,0.00023862881355932205
190,-960000.0,28717.0,1460000.0,0.0002549,0.00023862881355932205
191,-960000.0,29036.0,1460000.0,0.0002549,0.00023862881355932205
192,-960000.0,29355.0,1460000.0,0.0002549,0.00023862881355932205
193,-960000.0,29674.0,1460000.0,0.0002549,0.00023862881355932205
194,-960000.0,29994.0,1460000.0,0.0002549,0.00023862881355932205
195,-960000.0,30313.0,1460000.0,0.0002549,0.00023862881355932205
196,-960000.0,30632.0,1460000.0,0.0002549,0.00023862881355932205
197,-960000.0,30951.0,1460000.0,0.0002549,0.00023862881355932205
198,-960000.0,31270.0,1460000.0,0.000255,0.00023872881355932205
199,-960000.0,31589.0,1460000.0,0.0002549,0.00023862881355932205
200,-1920000.0,0.0,194000.0,3.38e-05,1.2576271186440677e-06
201,-1920000.0,319.08,416000.0,7.12e-05,3.865762711864406e-05
202,-1920000.0,638.16,731000.0,0.0001259,9.335762711864406e-05
203,-1920000.0,957.24,1040000.0,0.0001807,0.00014815762711864407
204,-1920000.0,1276.3,1260000.0,0.0002186,0.00018605762711864407
205,-1920000.0,1595.4,1370000.0,0.0002388,0.00020625762711864407
206,-1920000.0,1914.5,1420000.0,0.000248,0.00021545762711864408
207,-1920000.0,2233.6,1440000.0,0.0002519,0.00021935762711864406
208,-1920000.0,2552.6,1450000.0,0.0002536,0.00022105762711864405
209,-1920000.0,2871.7,1450000.0,0.0002543,0.00022175762711864407
210,-1920000.0,3190.8,1450000.0,0.0002547,0.00022215762711864408
211,-1920000.0,3509.9,1460000.0,0.0002548,0.00022225762711864408
212,-1920000.0,3829.0,1460000.0,0.0002549,0.00022235762711864408
213,-1920000.0,4148.0,1460000.0,0.0002548,0.00022225762711864408
214,-1920000.0,4467.1,1460000.0,0.0002548,0.00022225762711864408
215,-1920000.0,4786.2,1460000.0,0.0002549,0.00022235762711864408
216,-1920000.0,5105.3,1460000.0,0.0002549,0.00022235762711864408
217,-1920000.0,5424.4,1460000.0,0.0002549,0.00022235762711864408
218,-1920000.0,5743.4,1460000.0,0.0002549,0.00022235762711864408
219,-1920000.0,6062.5,1460000.0,0.0002549,0.00022235762711864408
220,-1920000.0,6381.6,1460000.0,0.0002548,0.00022225762711864408
221,-1920000.0,6700.7,1460000.0,0.0002549,0.00022235762711864408
222,-1920000.0,7019.8,1460000.0,0.0002549,0.00022235762711864408
223,-1920000.0,7338.8,1460000.0,0.0002549,0.00022235762711864408
224,-1920000.0,7657.9,1460000.0,0.0002549,0.00022235762711864408
225,-1920000.0,7977.0,1460000.0,0.0002549,0.00022235762711864408
226,-1920000.0,8296.1,1460000.0,0.0002549,0.00022235762711864408
227,-1920000.0,8615.2,1460000.0,0.0002549,0.00022235762711864408
228,-1920000.0,8934.2,1460000.0,0.0002549,0.00022235762711864408
229,-1920000.0,9253.3,1460000.0,0.0002549,0.00022235762711864408
230,-1920000.0,9572.4,1460000.0,0.0002549,0.00022235762711864408
231,-1920000.0,9891.5,1460000.0,0.0002549,0.00022235762711864408
232,-1920000.0,10211.0,1460000.0,0.0002549,0.00022235762711864408
233,-1920000.0,10530.0,1460000.0,0.0002549,0.00022235762711864408
234,-1920000.0,10849.0,1460000.0,0.0002549,0.00022235762711864408
235,-1920000.0,11168.0,1460000.0,0.0002549,0.00022235762711864408
236,-1920000.0,11487.0,1460000.0,0.0002549,0.00022235762711864408
237,-1920000.0,11806.0,1460000.0,0.0002549,0.00022235762711864408
238,-1920000.0,12125.0,1460000.0,0.0002549,0.00022235762711864408
239,-1920000.0,12444.0,1460000.0,0.0002549,0.00022235762711864408
240,-1920000.0,12763.0,1460000.0,0.0002549,0.00022235762711864408
241,-1920000.0,13082.0,1460000.0,0.0002549,0.00022235762711864408
242,-1920000.0,13401.0,1460000.0,0.0002549,0.00022235762711864408
243,-1920000.0,13720.0,1460000.0,0.0002549,0.00022235762711864408
244,-1920000.0,14040.0,1460000.0,0.0002549,0.00022235762711864408
245,-1920000.0,14359.0,1460000.0,0.0002549,0.00022235762711864408
246,-1920000.0,14678.0,1460000.0,0.0002549,0.00022235762711864408
247,-1920000.0,14997.0,1460000.0,0.0002549,0.00022235762711864408
248,-1920000.0,15316.0,1460000.0,0.0002549,0.00022235762711864408
249,-1920000.0,15635.0,1460000.0,0.0002549,0.00022235762711864408
250,-1920000.0,15954.0,1460000.0,0.0002549,0.00022235762711864408
251,-1920000.0,16273.0,1460000.0,0.0002549,0.00022235762711864408
252,-1920000.0,16592.0,1460000.0,0.0002549,0.00022235762711864408
253,-1920000.0,16911.0,1460000.0,0.000255,0.00022245762711864408
254,-1920000.0,17230.0,1460000.0,0.0002549,0.00022235762711864408
255,-1920000.0,17549.0,1460000.0,0.0002549,0.00022235762711864408
256,-1920000.0,17868.0,1460000.0,0.0002549,0.00022235762711864408
257,-1920000.0,18188.0,1460000.0,0.000255,0.00022245762711864408
258,-1920000.0,18507.0,1460000.0,0.000255,0.00022245762711864408
259,-1920000.0,18826.0,1460000.0,0.0002549,0.00022235762711864408
260,-1920000.0,19145.0,1460000.0,0.0002549,0.00022235762711864408
261,-1920000.0,19464.0,1460000.0,0.0002549,0.00022235762711864408
262,-1920000.0,19783.0,1460000.0,0.0002549,0.00022235762711864408
263,-1920000.0,20102.0,1460000.0,0.0002549,0.00022235762711864408
264,-1920000.0,20421.0,1460000.0,0.0002549,0.00022235762711864408
265,-1920000.0,20740.0,1460000.0,0.0002549,0.00022235762711864408
266,-1920000.0,21059.0,1460000.0,0.0002549,0.00022235762711864408
267,-1920000.0,21378.0,1460000.0,0.0002549,0.00022235762711864408
268,-1920000.0,21697.0,1460000.0,0.0002549,0.00022235762711864408
269,-1920000.0,22017.0,1460000.0,0.0002549,0.00022235762711864408
270,-1920000.0,22336.0,1460000.0,0.0002549,0.00022235762711864408
271,-1920000.0,22655.0,1460000.0,0.0002549,0.00022235762711864408
272,-1920000.0,22974.0,1460000.0,0.0002549,0.00022235762711864408
273,-1920000.0,23293.0,1460000.0,0.0002549,0.00022235762711864408
274,-1920000.0,23612.0,1460000.0,0.0002549,0.00022235762711864408
275,-1920000.0,23931.0,1460000.0,0.0002549,0.00022235762711864408
276,-1920000.0,24250.0,1460000.0,0.0002549,0.00022235762711864408
277,-1920000.0,24569.0,1460000.0,0.0002549,0.00022235762711864408
278,-1920000.0,24888.0,1460000.0,0.0002549,0.00022235762711864408
279,-1920000.0,25207.0,1460000.0,0.0002549,0.00022235762711864408
280,-1920000.0,25526.0,1460000.0,0.0002549,0.00022235762711864408
281,-1920000.0,25845.0,1460000.0,0.000255,0.00022245762711864408
282,-1920000.0,26165.0,1460000.0,0.0002549,0.00022235762711864408
283,-1920000.0,26484.0,1460000.0,0.000255,0.00022245762711864408
284,-1920000.0,26803.0,1460000.0,0.000255,0.00022245762711864408
285,-1920000.0,27122.0,1460000.0,0.000255,0.00022245762711864408
286,-1920000.0,27441.0,1460000.0,0.000255,0.00022245762711864408
